cat,loc,time,mean,mode,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%,time_end
medical,1,2020-04-06 04:40:00,6.16627,7.101452,3.535706,8.814414,3.910941,8.432081,4.172351,7.516367,4.705941,6.524341, 3.535706, 3.918096, 4.208457, 4.265545, 4.340822, 4.489493, 4.670503, 4.771286, 4.861995, 4.950648, 5.027597, 5.127410, 5.221889, 5.363162, 5.448818, 5.582011, 5.660038, 5.718642, 5.760872, 5.932014, 5.970762, 6.054827, 6.195860, 6.241166, 6.331582, 6.427261, 6.512425, 6.597304, 6.761031, 6.947363, 7.096406, 7.152750, 7.291957, 7.333711, 7.522833, 7.730187, 8.232696, 8.433639, 8.796126, 9.552875,13.154931,2020-04-06 04:40:00
medical,1,2020-04-06 05:20:00,6.502315,7.146062,4.388714,9.694372,4.465870,8.480907,4.465870,7.442964,5.497459,7.215394, 3.508611, 4.546085, 4.653854, 4.752230, 4.811616, 5.005821, 5.088314, 5.170599, 5.215635, 5.330411, 5.449128, 5.526430, 5.576096, 5.684999, 5.803523, 5.860515, 5.938655, 6.076515, 6.148478, 6.209074, 6.280009, 6.363257, 6.490790, 6.664307, 6.773779, 6.804649, 6.876186, 6.934011, 7.063127, 7.132166, 7.191018, 7.241843, 7.334347, 7.556056, 7.701375, 8.082856, 8.341993, 8.563495, 9.193481,10.325638,12.241124,2020-04-06 05:20:00
medical,1,2020-04-06 06:25:00,5.56543,7.594236,3.121079,8.441487,3.256182,7.936356,4.004949,7.660270,4.469644,6.210155, 2.090011, 3.119140, 3.269365, 3.445900, 3.686430, 4.058811, 4.164899, 4.219468, 4.461623, 4.536147, 4.650533, 4.702683, 4.737449, 4.765089, 4.897890, 4.965515, 5.097549, 5.146829, 5.278461, 5.341405, 5.486920, 5.529737, 5.609757, 5.686123, 5.792698, 5.866321, 6.025099, 6.132569, 6.208834, 6.346618, 6.423275, 6.532298, 6.779509, 7.008490, 7.158250, 7.348850, 7.569777, 7.803599, 7.960901, 8.433518,10.799722,2020-04-06 06:25:00
medical,1,2020-04-06 16:30:00,2.090179,1.918503,1.141235,3.486299,1.141235,2.976832,1.325255,2.714036,1.532334,2.146951,0.9243454,1.2242793,1.2910409,1.3403794,1.4045235,1.4649965,1.5132171,1.5385752,1.5829068,1.6343896,1.6730540,1.6932998,1.7295454,1.7667180,1.8019313,1.8372062,1.8756712,1.9013614,1.9129414,1.9401489,1.9743535,2.0205698,2.0438778,2.0563983,2.0826803,2.1180518,2.1389342,2.1705664,2.2013803,2.2584840,2.3217585,2.3764408,2.5240245,2.6359347,2.7019713,2.7955174,2.9440216,3.0634116,3.3756691,3.7306110,4.9351368,2020-04-06 16:30:00
medical,1,2020-04-06 06:30:00,6.736288,7.163124,5.226629,8.402015,5.512853,8.196114,5.546383,7.553939,6.249787,7.376600,4.357334,5.235704,5.544706,5.629781,5.655931,5.803680,5.860164,5.919891,6.037619,6.099919,6.181306,6.206288,6.254791,6.309843,6.359989,6.430172,6.503726,6.575287,6.619726,6.662349,6.705947,6.772491,6.827295,6.886966,6.947684,7.000614,7.053190,7.139090,7.171405,7.229378,7.317166,7.343656,7.396058,7.452576,7.549534,7.647592,7.870056,7.979708,8.197805,8.404127,8.848457,2020-04-06 06:30:00
medical,1,2020-04-06 06:40:00,5.307343,4.930421,3.259301,7.784191,3.292359,6.921231,3.746954,6.520681,4.444839,5.960513,2.385938,3.291533,3.547498,3.691501,3.804694,3.935204,4.170099,4.268987,4.334386,4.436098,4.501694,4.569037,4.639863,4.717003,4.844706,4.912608,4.970493,5.016120,5.088998,5.224999,5.313308,5.410284,5.460471,5.579004,5.633981,5.697280,5.760562,5.835171,5.893535,5.953790,6.023656,6.122747,6.197198,6.296407,6.408770,6.472667,6.617305,6.915707,7.376450,7.789902,8.752034,2020-04-06 06:40:00
medical,1,2020-04-06 16:35:00,4.284655,5.436027,1.582871,7.305297,2.162111,6.487272,2.338327,5.447817,2.702517,4.394837, 1.582871, 2.174965, 2.352848, 2.412360, 2.467916, 2.600445, 2.784060, 2.898144, 2.970891, 3.066376, 3.122595, 3.236735, 3.293172, 3.363314, 3.548756, 3.611897, 3.752086, 3.901571, 3.971901, 4.034129, 4.057817, 4.105362, 4.159786, 4.198825, 4.284110, 4.349194, 4.523947, 4.649898, 4.777200, 4.919698, 4.995124, 5.145314, 5.234736, 5.389078, 5.584120, 5.915932, 6.181243, 6.490224, 7.271396, 8.173531,12.890354,2020-04-06 16:35:00
medical,1,2020-04-06 06:50:00,3.781442,2.000184,1.944978,6.136792,1.859535,5.268539,2.498956,5.243492,3.045436,4.376709,1.418175,1.963088,2.170688,2.323265,2.413311,2.516682,2.613755,2.716068,2.847378,2.993692,3.054802,3.105458,3.139405,3.204412,3.263323,3.333394,3.466271,3.530796,3.586479,3.672281,3.724581,3.745724,3.774661,3.826205,3.926326,4.036937,4.099642,4.186769,4.237152,4.354482,4.428178,4.523946,4.603116,4.743899,4.959898,5.101812,5.202793,5.436012,5.804960,6.138609,7.418924,2020-04-06 06:50:00
medical,1,2020-04-07 07:50:00,6.925487,5.643777, 3.793715,10.678225,3.869296,9.527177,4.492680,8.795994,5.185183,7.385038, 3.793715, 4.014543, 4.388072, 4.647775, 4.832317, 5.032916, 5.147934, 5.237965, 5.264093, 5.347516, 5.389141, 5.511970, 5.603559, 5.810524, 5.890080, 5.976917, 6.034131, 6.162725, 6.335980, 6.386151, 6.624685, 6.808919, 6.992905, 7.049860, 7.233274, 7.313408, 7.376098, 7.590304, 7.715248, 7.865385, 7.969212, 8.124401, 8.316047, 8.507546, 8.651035, 9.007392, 9.385958, 9.823278,10.607329,11.390367,16.792812,2020-04-07 07:50:00
medical,1,2020-04-06 07:00:00,5.673845,5.899924,3.800990,7.888176,4.030411,7.252622,4.154053,6.673478,4.819066,6.110375,2.973754,3.859863,4.105948,4.166842,4.301011,4.448435,4.658070,4.755687,4.844189,4.887521,4.944609,4.994919,5.093408,5.206142,5.328253,5.370847,5.407709,5.449395,5.527039,5.602863,5.686651,5.724501,5.798694,5.841478,5.899892,5.944341,6.021942,6.103352,6.161911,6.278444,6.319937,6.368933,6.416501,6.540813,6.652210,6.704714,6.978060,7.154694,7.417353,7.941426,8.785413,2020-04-06 07:00:00
medical,1,2020-04-06 16:40:00,1.771132,2.340028,0.8600123,3.0858140,0.8484307,2.6464568,0.9582041,2.2304666,1.177836,1.879786,0.6516675,0.8661434,0.9765100,1.0878680,1.1413364,1.1942052,1.2243198,1.2477707,1.2979458,1.3125046,1.3434845,1.3802237,1.4194011,1.4331183,1.4705475,1.5189027,1.5295881,1.5859953,1.6330177,1.6853796,1.6986294,1.7347060,1.7854921,1.8221694,1.8585432,1.9057993,1.9329273,1.9785361,2.0053288,2.0569717,2.1104541,2.1226878,2.1581161,2.2128527,2.2868169,2.3873691,2.5446245,2.6673119,2.9119789,3.0860575,3.7550003,2020-04-06 16:40:00
medical,1,2020-04-06 07:15:00,5.060684,5.545628,3.560889,6.920779,3.847836,6.628952,3.741330,5.838228,4.652817,5.805513,2.493472,3.613293,3.844222,3.909887,4.013333,4.044581,4.198229,4.238352,4.315309,4.346534,4.419022,4.485781,4.565767,4.619336,4.671205,4.715596,4.743098,4.790515,4.856554,4.896962,5.032250,5.094194,5.159662,5.198659,5.241139,5.303765,5.406829,5.444219,5.504899,5.549930,5.590930,5.662679,5.752257,5.792678,5.970897,6.068482,6.197696,6.368449,6.602473,6.925199,7.851744,2020-04-06 07:15:00
medical,1,2020-04-06 07:40:00,4.954699,3.841545,3.411773,6.913181,3.411773,6.407486,3.894451,6.308006,4.168609,5.437307,2.881070,3.407902,3.435498,3.688420,3.835075,3.939776,4.016142,4.070126,4.154200,4.177284,4.227738,4.303603,4.372564,4.412763,4.499039,4.548254,4.596119,4.627974,4.722300,4.784819,4.864657,4.930510,4.996050,5.104596,5.171925,5.229146,5.300750,5.370470,5.435026,5.496192,5.602588,5.704033,5.835934,5.888569,5.983739,6.135409,6.246854,6.396496,6.547271,6.783148,7.863697,2020-04-06 07:40:00
medical,1,2020-04-08 05:40:00,7.206621,6.952212, 3.952701,10.966435, 4.603379,10.875629,4.603379,9.419675,5.676895,8.030384, 3.054155, 4.081861, 4.494728, 4.687494, 4.878325, 5.109096, 5.232207, 5.423343, 5.679987, 5.773307, 5.848206, 6.028934, 6.092339, 6.210217, 6.271612, 6.324891, 6.473299, 6.567414, 6.669167, 6.832326, 6.907191, 6.984755, 7.096238, 7.181765, 7.530428, 7.749360, 7.826609, 7.957383, 8.049848, 8.185532, 8.473411, 8.715603, 8.935697, 9.071284, 9.336490, 9.510869, 9.759977,10.384142,10.823696,10.971532,13.105736,2020-04-08 05:40:00
medical,1,2020-04-06 08:05:00,5.710767,5.849683,4.531162,7.207569,4.559039,6.930273,4.742651,6.532194,5.094576,5.939624,3.891666,4.539580,4.640156,4.784631,4.859893,4.949671,5.001165,5.098882,5.124089,5.163135,5.186861,5.210696,5.241981,5.266868,5.313455,5.370832,5.418106,5.455084,5.482245,5.548419,5.613069,5.679394,5.705153,5.768437,5.812846,5.849682,5.879741,5.942870,6.053567,6.128309,6.204524,6.261574,6.314893,6.379218,6.475057,6.581129,6.687588,6.921553,7.130718,7.210148,8.790921,2020-04-06 08:05:00
medical,1,2020-04-06 16:50:00,1.208866,0.7882378,0.1448588,2.3340724,0.2356655,2.0931137,0.2767709,1.8041328,0.580334,1.429864,0.1448588,0.2348192,0.2809231,0.3713847,0.4603760,0.5097026,0.5564498,0.6021961,0.6531994,0.6980596,0.7404882,0.7879803,0.7970457,0.8652149,0.8813548,0.9409038,0.9797276,1.0139610,1.0538598,1.0956206,1.1595655,1.2122342,1.2551310,1.2879705,1.3484170,1.3959204,1.4185859,1.4766215,1.5116842,1.6036159,1.7039717,1.7204988,1.7565284,1.7889057,1.8179965,1.9009199,2.0237196,2.0869469,2.2491583,2.4981802,2.8604067,2020-04-06 16:50:00
medical,1,2020-04-06 08:20:00,6.862599,5.873299,4.431410,9.325032,4.875748,8.973808,5.281928,8.450011,5.796595,7.539608, 3.735227, 4.470848, 4.870904, 5.236145, 5.323779, 5.378073, 5.514761, 5.556246, 5.721865, 5.844550, 5.882385, 5.974530, 6.030071, 6.116915, 6.189314, 6.283924, 6.369772, 6.436893, 6.548984, 6.627303, 6.740322, 6.845547, 6.935904, 7.015709, 7.071405, 7.168219, 7.267566, 7.394956, 7.507283, 7.653452, 7.875213, 8.055381, 8.133338, 8.215482, 8.338094, 8.407566, 8.528529, 8.701916, 8.967987, 9.329043,12.250573,2020-04-06 08:20:00
medical,1,2020-04-07 08:25:00,7.980878,8.207399, 5.005593,11.092669, 5.005593,10.292141,5.660622,9.886240,6.607798,8.834356, 4.456383, 5.142306, 5.424792, 5.650922, 5.783900, 6.028366, 6.280750, 6.410499, 6.540554, 6.689290, 6.762875, 6.854009, 6.963278, 7.066056, 7.222388, 7.337356, 7.416689, 7.484337, 7.572605, 7.870067, 7.940114, 8.004424, 8.097710, 8.187926, 8.278633, 8.438234, 8.535878, 8.658493, 8.786714, 8.929322, 9.050192, 9.297288, 9.382113, 9.523660, 9.687964, 9.840350,10.098604,10.481898,10.809433,11.642340,13.875886,2020-04-07 08:25:00
medical,1,2020-04-06 08:30:00,6.166957,6.303931,4.811470,7.649191,4.959372,7.367938,5.166034,7.023184,5.471517,6.431296,4.483156,4.858408,5.011650,5.169418,5.251004,5.340570,5.372921,5.476439,5.518051,5.586451,5.628741,5.651102,5.712882,5.798467,5.834831,5.864038,5.925909,5.938148,5.955702,5.983811,6.047679,6.124570,6.170111,6.217691,6.255421,6.308043,6.400262,6.435006,6.588194,6.621025,6.697694,6.741127,6.845393,6.874106,6.949050,7.026653,7.208461,7.312179,7.468119,7.684513,9.004879,2020-04-06 08:30:00
medical,1,2020-04-06 16:55:00,1.478878,1.552238,0.5792307,2.5052173,0.8065383,2.4421665,0.8192614,2.0427267,1.159048,1.759480,0.3125172,0.4831287,0.7118254,0.8059504,0.8506141,0.9221048,0.9707509,1.0154804,1.0574706,1.1259736,1.1655856,1.1875432,1.2081539,1.2497802,1.2793613,1.3213215,1.3387057,1.3747079,1.4064008,1.4336469,1.4631022,1.4815617,1.5294479,1.5655512,1.6057415,1.6285229,1.6502656,1.6806770,1.7125053,1.7423483,1.8051833,1.8623492,1.9355902,1.9615410,1.9959680,2.0388506,2.0776508,2.2315394,2.3300725,2.4416942,2.7609689,2020-04-06 16:55:00
medical,1,2020-04-06 09:15:00,6.444135,6.188006,5.433046,7.786654,5.592813,7.653125,5.627380,7.203888,5.782942,6.608475,4.766289,5.163589,5.487276,5.627876,5.691722,5.757725,5.801151,5.860103,5.926833,5.990626,6.014262,6.054353,6.098558,6.123035,6.170289,6.188028,6.252629,6.263594,6.308330,6.362208,6.398031,6.445059,6.483908,6.531867,6.561973,6.595120,6.642391,6.716982,6.786118,6.849396,6.898476,6.937533,7.004458,7.021202,7.125225,7.207495,7.316179,7.413665,7.548022,7.743667,8.101925,2020-04-06 09:15:00
medical,1,2020-04-06 09:35:00,6.311529,6.287924,5.196804,7.469507,5.445657,7.392135,5.445657,6.970200,6.117524,6.923269,4.674283,5.166850,5.326199,5.488345,5.546119,5.617183,5.668840,5.713408,5.752595,5.866728,5.916134,5.959604,5.989949,6.030886,6.111858,6.138390,6.179347,6.199948,6.236631,6.287925,6.336813,6.368280,6.395741,6.412831,6.448024,6.497134,6.515641,6.547869,6.609243,6.711950,6.744736,6.807837,6.829878,6.881954,6.914383,6.993956,7.110993,7.183740,7.249578,7.457967,7.964661,2020-04-06 09:35:00
medical,1,2020-04-06 17:10:00,2.110453,2.229871,0.9623818,3.4377837,0.9623818,3.0667405,1.133020,2.837814,1.678747,2.514382,0.4922245,0.9849803,1.0789052,1.1554343,1.2078777,1.3762495,1.4692686,1.4985862,1.5935835,1.6163346,1.6814022,1.7259628,1.7533912,1.7802120,1.8283574,1.8694226,1.8807223,1.9126858,1.9563855,2.0075051,2.0709824,2.1771213,2.2064144,2.2251866,2.2668680,2.3089393,2.3576943,2.4089122,2.4448377,2.4853598,2.5292180,2.5869564,2.6472921,2.7338446,2.8184089,2.8635017,2.9257090,3.0733965,3.1869641,3.4389543,3.9142562,2020-04-06 17:10:00
medical,1,2020-04-06 09:45:00,5.68408,5.977908,3.877373,7.088773,4.228381,6.957625,4.599389,6.617268,5.044415,6.106909,3.624760,3.988661,4.224520,4.588047,4.631853,4.717471,4.835070,4.917004,4.986916,5.038061,5.127148,5.197871,5.221283,5.279810,5.351019,5.414334,5.473592,5.543604,5.577314,5.629269,5.715213,5.781146,5.838145,5.879093,5.901464,5.963724,6.017104,6.040732,6.056486,6.106218,6.197703,6.311187,6.375356,6.423787,6.489751,6.595059,6.722743,6.874124,6.954367,7.413036,8.536998,2020-04-06 09:45:00
medical,1,2020-04-08 22:30:00,4.713474,4.885535,3.071023,6.284653,3.471458,6.100938,3.722763,5.736186,4.038528,5.077087,2.455922,3.111279,3.465915,3.609056,3.729740,3.767423,3.837997,3.938841,4.022207,4.071540,4.170905,4.263323,4.301465,4.321761,4.397654,4.429425,4.494365,4.587354,4.612236,4.646975,4.683496,4.738020,4.780562,4.837082,4.878565,4.918841,4.994932,5.020010,5.067899,5.129402,5.247054,5.326866,5.391785,5.512159,5.582925,5.631651,5.746804,5.909872,6.093977,6.362100,7.334265,2020-04-08 22:30:00
medical,1,2020-04-08 06:25:00,3.561389,4.554206,1.865012,5.312555,1.865012,4.807864,2.459943,4.750746,2.449407,3.712180,1.865012,1.978992,2.195998,2.390124,2.486620,2.520845,2.592305,2.652113,2.702763,2.764881,2.813812,2.862989,2.956629,2.989776,3.019983,3.130038,3.191406,3.255084,3.316332,3.376516,3.478790,3.519522,3.551765,3.665505,3.750065,3.842382,3.914281,3.990838,4.078814,4.158568,4.211098,4.258690,4.334715,4.504617,4.583350,4.672063,4.806700,5.054078,5.294894,5.428047,6.275876,2020-04-08 06:25:00
medical,1,2020-04-08 12:30:00,3.007896,2.986427,2.179218,3.673090,2.515864,3.733002,2.556357,3.461838,2.744832,3.218769,1.997883,2.198591,2.341043,2.515019,2.554941,2.593250,2.622139,2.654191,2.694557,2.734846,2.761325,2.775267,2.798054,2.816395,2.847991,2.879243,2.916837,2.954511,2.979205,2.994651,3.019091,3.045091,3.055868,3.072190,3.108043,3.118511,3.128660,3.159522,3.187127,3.209993,3.244246,3.292526,3.313260,3.364819,3.386270,3.436400,3.461459,3.606034,3.642907,3.727026,4.410959,2020-04-08 12:30:00
medical,1,2020-04-07 08:45:00,9.494252,7.256928, 4.711286,13.865442, 6.19589,13.56931, 6.439882,12.384914,7.150412,9.898386, 4.341204, 5.293891, 6.214577, 6.527994, 6.672463, 6.946233, 7.135886, 7.250501, 7.372973, 7.442237, 7.737738, 7.941899, 7.985124, 8.122931, 8.517591, 8.565535, 8.740238, 8.796412, 8.883227, 9.008300, 9.138081, 9.235102, 9.484493, 9.603385, 9.670575, 9.778999, 9.895489,10.191876,10.379235,10.709172,10.949821,11.101353,11.477589,11.718146,12.157697,12.571014,12.801868,13.266877,13.573377,15.223907,18.023812,2020-04-07 08:45:00
medical,1,2020-04-06 10:00:00,5.21399,4.472477,3.765999,7.075477,3.831844,6.425658,4.148099,6.067259,4.808344,5.783909,3.255141,3.788466,3.878031,4.074991,4.222887,4.359408,4.436470,4.477566,4.572412,4.634431,4.713030,4.779075,4.824129,4.865431,4.920529,4.950954,5.018984,5.070738,5.106539,5.165510,5.231724,5.256589,5.270093,5.339432,5.377953,5.396005,5.445770,5.517588,5.589321,5.634585,5.697047,5.765661,5.799999,5.842986,5.919023,6.013014,6.201455,6.364791,6.574633,7.077059,7.459080,2020-04-06 10:00:00
medical,1,2020-04-06 17:25:00,1.933427,1.451607,0.6438339,3.3322594,0.8588706,3.2314552,0.7175842,2.6299745,1.282175,2.251772,0.6078154,0.7737134,0.8744508,0.9573411,0.9937270,1.0551444,1.1009446,1.1381564,1.2234924,1.3062242,1.3576995,1.3837266,1.4461792,1.4732839,1.5074722,1.5653437,1.6156973,1.6525868,1.7288701,1.7767526,1.8181639,1.8704979,1.9121512,1.9608102,2.0279912,2.1175474,2.1641407,2.2001381,2.2426688,2.2958216,2.4330406,2.5337072,2.6113315,2.7280169,2.8411568,2.9937200,3.0581558,3.1390225,3.3031008,3.7261043,4.7867225,2020-04-06 17:25:00
medical,1,2020-04-06 10:25:00,5.63227,5.73823,3.569146,7.531534,4.395334,7.531534,4.460092,6.711470,4.980907,6.199365,3.004132,3.604957,4.087693,4.427616,4.518146,4.598008,4.631081,4.705321,4.745227,4.836075,4.917292,5.065689,5.121468,5.251600,5.321561,5.370943,5.449988,5.496159,5.546141,5.594264,5.650827,5.710876,5.738219,5.757753,5.804763,5.844301,5.963278,6.030344,6.072164,6.097278,6.179406,6.283222,6.403810,6.500800,6.628629,6.665235,6.862567,6.926487,7.244067,7.544155,9.102669,2020-04-06 10:25:00
medical,1,2020-04-06 17:30:00,1.067703,0.9238678,0.2616457,1.9320265,0.4456539,1.8256435,0.4635548,1.4896956,0.4616621,1.0030597,0.2616457,0.4114163,0.4665502,0.4918532,0.5361682,0.5630821,0.6014257,0.6335114,0.6571387,0.6859500,0.7164635,0.7372963,0.7631311,0.7726587,0.8119697,0.8430437,0.8649657,0.8826333,0.9228248,0.9329462,0.9590935,0.9852969,1.0378370,1.0870136,1.1415432,1.1766173,1.2168533,1.2448705,1.2625844,1.2871517,1.3231355,1.3629757,1.3910193,1.4842019,1.4951615,1.6090671,1.6900389,1.7971406,1.9318333,2.2522551,2.8554303,2020-04-06 17:30:00
medical,1,2020-04-06 10:45:00,5.509839,5.499895,3.041984,7.662459,3.557724,7.454960,3.557724,6.798327,4.663069,6.553479, 2.439830, 3.382144, 3.560922, 3.705171, 3.769668, 3.859188, 3.952802, 4.131836, 4.189341, 4.224332, 4.387423, 4.535030, 4.658726, 4.694471, 4.816728, 4.937636, 5.056567, 5.128639, 5.301171, 5.365155, 5.427365, 5.539695, 5.626751, 5.742250, 5.807613, 5.860579, 5.989130, 6.167563, 6.207240, 6.303699, 6.375476, 6.488726, 6.546376, 6.713007, 6.809179, 7.010456, 7.124512, 7.301425, 7.476051, 9.058490,13.201835,2020-04-06 10:45:00
