time,loc,cat,MAP,CIR
2020-04-06 22:20:00,NA,NA,10,10
2020-04-06 22:25:00,NA,NA,10,10
2020-04-06 22:30:00,NA,NA,10,10
2020-04-06 22:35:00,NA,NA,10,10
2020-04-06 22:40:00,NA,NA,10,10
2020-04-06 22:45:00,NA,NA,10,10
2020-04-06 22:50:00,NA,NA,10,10
2020-04-06 22:55:00,NA,NA,10,10
2020-04-06 23:00:00,NA,NA,10,10
2020-04-06 23:05:00,NA,NA,10,10
2020-04-06 23:10:00,NA,NA,10,10
2020-04-06 23:15:00,NA,NA,10,10
2020-04-06 23:20:00,NA,NA,10,10
2020-04-06 23:25:00,NA,NA,10,10
2020-04-06 23:30:00,4,shake_intensity,8.2,1.05
2020-04-06 23:35:00,NA,NA,10,10
2020-04-06 23:40:00,NA,NA,10,10
2020-04-06 23:45:00,NA,NA,10,10
2020-04-06 23:50:00,NA,NA,10,10
2020-04-06 23:55:00,NA,NA,10,10
2020-04-07 00:00:00,NA,NA,10,10
2020-04-07 00:05:00,NA,NA,10,10
2020-04-07 00:10:00,NA,NA,10,10
2020-04-07 00:15:00,4,shake_intensity,8.29,0.9
2020-04-07 00:20:00,NA,NA,10,10
2020-04-07 00:25:00,NA,NA,10,10
2020-04-07 00:30:00,4,shake_intensity,8.28,0.94
2020-04-07 00:35:00,NA,NA,10,10
2020-04-07 00:40:00,NA,NA,10,10
2020-04-07 00:45:00,NA,NA,10,10
2020-04-07 00:50:00,NA,NA,10,10
2020-04-07 00:55:00,NA,NA,10,10
2020-04-07 01:00:00,NA,NA,10,10
2020-04-07 01:05:00,NA,NA,10,10
2020-04-07 01:10:00,NA,NA,10,10
2020-04-07 01:15:00,NA,NA,10,10
2020-04-07 01:20:00,NA,NA,10,10
2020-04-07 01:25:00,NA,NA,10,10
2020-04-07 01:30:00,NA,NA,10,10
2020-04-07 01:35:00,NA,NA,10,10
2020-04-07 01:40:00,NA,NA,10,10
2020-04-07 01:45:00,NA,NA,10,10
2020-04-07 01:50:00,NA,NA,10,10
2020-04-07 01:55:00,NA,NA,10,10
2020-04-07 02:00:00,NA,NA,10,10
2020-04-07 02:05:00,NA,NA,10,10
2020-04-07 02:10:00,NA,NA,10,10
2020-04-07 02:15:00,NA,NA,10,10
2020-04-07 02:20:00,NA,NA,10,10
2020-04-07 02:25:00,NA,NA,10,10
2020-04-07 02:30:00,NA,NA,10,10
2020-04-07 02:35:00,NA,NA,10,10
2020-04-07 02:40:00,NA,NA,10,10
2020-04-07 02:45:00,NA,NA,10,10
2020-04-07 02:50:00,NA,NA,10,10
2020-04-07 02:55:00,NA,NA,10,10
2020-04-07 03:00:00,NA,NA,10,10
2020-04-07 03:05:00,NA,NA,10,10
2020-04-07 03:10:00,NA,NA,10,10
2020-04-07 03:15:00,NA,NA,10,10
2020-04-07 03:20:00,NA,NA,10,10
2020-04-07 03:25:00,NA,NA,10,10
2020-04-07 03:30:00,NA,NA,10,10
2020-04-07 03:35:00,NA,NA,10,10
2020-04-07 03:40:00,NA,NA,10,10
2020-04-07 03:45:00,NA,NA,10,10
2020-04-07 03:50:00,NA,NA,10,10
2020-04-07 03:55:00,NA,NA,10,10
2020-04-07 04:00:00,NA,NA,10,10
2020-04-07 04:05:00,NA,NA,10,10
2020-04-07 04:10:00,NA,NA,10,10
2020-04-07 04:15:00,NA,NA,10,10
2020-04-07 04:20:00,NA,NA,10,10
2020-04-07 04:25:00,NA,NA,10,10
2020-04-07 04:30:00,NA,NA,10,10
2020-04-07 04:35:00,NA,NA,10,10
2020-04-07 04:40:00,NA,NA,10,10
2020-04-07 04:45:00,NA,NA,10,10
2020-04-07 04:50:00,NA,NA,10,10
2020-04-07 04:55:00,NA,NA,10,10
2020-04-07 05:00:00,NA,NA,10,10
2020-04-07 05:05:00,NA,NA,10,10
2020-04-07 05:10:00,NA,NA,10,10
2020-04-07 05:15:00,NA,NA,10,10
2020-04-07 05:20:00,NA,NA,10,10
2020-04-07 05:25:00,NA,NA,10,10
2020-04-07 05:30:00,4,shake_intensity,8.64,1.42
2020-04-07 05:35:00,NA,NA,10,10
2020-04-07 05:40:00,NA,NA,10,10
2020-04-07 05:45:00,NA,NA,10,10
2020-04-07 05:50:00,NA,NA,10,10
2020-04-07 05:55:00,NA,NA,10,10
2020-04-07 06:00:00,NA,NA,10,10
2020-04-07 06:05:00,NA,NA,10,10
2020-04-07 06:10:00,NA,NA,10,10
2020-04-07 06:15:00,NA,NA,10,10
2020-04-07 06:20:00,NA,NA,10,10
2020-04-07 06:25:00,NA,NA,10,10
2020-04-07 06:30:00,NA,NA,10,10
2020-04-07 06:35:00,NA,NA,10,10
2020-04-07 06:40:00,NA,NA,10,10
2020-04-07 06:45:00,NA,NA,10,10
2020-04-07 06:50:00,NA,NA,10,10
2020-04-07 06:55:00,NA,NA,10,10
2020-04-07 07:00:00,NA,NA,10,10
2020-04-07 07:05:00,NA,NA,10,10
2020-04-07 07:10:00,NA,NA,10,10
2020-04-07 07:15:00,NA,NA,10,10
2020-04-07 07:20:00,NA,NA,10,10
2020-04-07 07:25:00,NA,NA,10,10
2020-04-07 07:30:00,NA,NA,10,10
2020-04-07 07:35:00,NA,NA,10,10
2020-04-07 07:40:00,NA,NA,10,10
2020-04-07 07:45:00,NA,NA,10,10
2020-04-07 07:50:00,NA,NA,10,10
2020-04-07 07:55:00,NA,NA,10,10
2020-04-07 08:00:00,NA,NA,10,10
2020-04-07 08:05:00,NA,NA,10,10
2020-04-07 08:10:00,NA,NA,10,10
2020-04-07 08:15:00,NA,NA,10,10
2020-04-07 08:20:00,NA,NA,10,10
2020-04-07 08:25:00,NA,NA,10,10
2020-04-07 08:30:00,NA,NA,10,10
2020-04-07 08:35:00,NA,NA,10,10
2020-04-07 08:40:00,NA,NA,10,10
2020-04-07 08:45:00,NA,NA,10,10
2020-04-07 08:50:00,NA,NA,10,10
2020-04-07 08:55:00,NA,NA,10,10
2020-04-07 09:00:00,NA,NA,10,10
2020-04-07 09:05:00,NA,NA,10,10
2020-04-07 09:10:00,NA,NA,10,10
2020-04-07 09:15:00,NA,NA,10,10
2020-04-07 09:20:00,NA,NA,10,10
2020-04-07 09:25:00,NA,NA,10,10
2020-04-07 09:30:00,NA,NA,10,10
2020-04-07 09:35:00,NA,NA,10,10
2020-04-07 09:40:00,NA,NA,10,10
2020-04-07 09:45:00,NA,NA,10,10
2020-04-07 09:50:00,NA,NA,10,10
2020-04-07 09:55:00,NA,NA,10,10
2020-04-07 10:00:00,NA,NA,10,10
2020-04-07 10:05:00,NA,NA,10,10
2020-04-07 10:10:00,NA,NA,10,10
2020-04-07 10:15:00,NA,NA,10,10
2020-04-07 10:20:00,NA,NA,10,10
2020-04-07 10:25:00,NA,NA,10,10
2020-04-07 10:30:00,NA,NA,10,10
2020-04-07 10:35:00,NA,NA,10,10
2020-04-07 10:40:00,NA,NA,10,10
2020-04-07 10:45:00,4,shake_intensity,8.38,0.96
2020-04-07 10:50:00,NA,NA,10,10
2020-04-07 10:55:00,NA,NA,10,10
2020-04-07 11:00:00,NA,NA,10,10
2020-04-07 11:05:00,NA,NA,10,10
2020-04-07 11:10:00,NA,NA,10,10
2020-04-07 11:15:00,NA,NA,10,10
2020-04-07 11:20:00,NA,NA,10,10
2020-04-07 11:25:00,NA,NA,10,10
2020-04-07 11:30:00,NA,NA,10,10
2020-04-07 11:35:00,4,shake_intensity,8.99,1.26
2020-04-07 11:40:00,NA,NA,10,10
2020-04-07 11:45:00,NA,NA,10,10
2020-04-07 11:50:00,NA,NA,10,10
2020-04-07 11:55:00,NA,NA,10,10
2020-04-07 12:00:00,NA,NA,10,10
2020-04-07 12:05:00,NA,NA,10,10
2020-04-07 12:10:00,NA,NA,10,10
2020-04-07 12:15:00,NA,NA,10,10
2020-04-07 12:20:00,NA,NA,10,10
2020-04-07 12:25:00,NA,NA,10,10
2020-04-07 12:30:00,NA,NA,10,10
2020-04-07 12:35:00,NA,NA,10,10
2020-04-07 12:40:00,NA,NA,10,10
2020-04-07 12:45:00,NA,NA,10,10
2020-04-07 12:50:00,NA,NA,10,10
2020-04-07 12:55:00,NA,NA,10,10
2020-04-07 13:00:00,NA,NA,10,10
2020-04-07 13:05:00,NA,NA,10,10
2020-04-07 13:10:00,NA,NA,10,10
2020-04-07 13:15:00,NA,NA,10,10
2020-04-07 13:20:00,NA,NA,10,10
2020-04-07 13:25:00,NA,NA,10,10
2020-04-07 13:30:00,NA,NA,10,10
2020-04-07 13:35:00,NA,NA,10,10
2020-04-07 13:40:00,NA,NA,10,10
2020-04-07 13:45:00,NA,NA,10,10
2020-04-07 13:50:00,NA,NA,10,10
2020-04-07 13:55:00,NA,NA,10,10
2020-04-07 14:00:00,NA,NA,10,10
2020-04-07 14:05:00,NA,NA,10,10
2020-04-07 14:10:00,NA,NA,10,10
2020-04-07 14:15:00,NA,NA,10,10
2020-04-07 14:20:00,NA,NA,10,10
2020-04-07 14:25:00,NA,NA,10,10
2020-04-07 14:30:00,NA,NA,10,10
2020-04-07 14:35:00,NA,NA,10,10
2020-04-07 14:40:00,NA,NA,10,10
2020-04-07 14:45:00,NA,NA,10,10
2020-04-07 14:50:00,NA,NA,10,10
2020-04-07 14:55:00,NA,NA,10,10
2020-04-07 15:00:00,NA,NA,10,10
2020-04-07 15:05:00,NA,NA,10,10
2020-04-07 15:10:00,NA,NA,10,10
2020-04-07 15:15:00,NA,NA,10,10
2020-04-07 15:20:00,NA,NA,10,10
2020-04-07 15:25:00,NA,NA,10,10
2020-04-07 15:30:00,NA,NA,10,10
2020-04-07 15:35:00,NA,NA,10,10
2020-04-07 15:40:00,NA,NA,10,10
2020-04-07 15:45:00,NA,NA,10,10
2020-04-07 15:50:00,NA,NA,10,10
2020-04-07 15:55:00,NA,NA,10,10
2020-04-07 16:00:00,NA,NA,10,10
2020-04-07 16:05:00,NA,NA,10,10
2020-04-07 16:10:00,NA,NA,10,10
2020-04-07 16:15:00,NA,NA,10,10
2020-04-07 16:20:00,NA,NA,10,10
2020-04-07 16:25:00,NA,NA,10,10
2020-04-07 16:30:00,NA,NA,10,10
2020-04-07 16:35:00,NA,NA,10,10
2020-04-07 16:40:00,NA,NA,10,10
2020-04-07 16:45:00,NA,NA,10,10
2020-04-07 16:50:00,NA,NA,10,10
2020-04-07 16:55:00,NA,NA,10,10
2020-04-07 17:00:00,NA,NA,10,10
2020-04-07 17:05:00,NA,NA,10,10
2020-04-07 17:10:00,NA,NA,10,10
2020-04-07 17:15:00,NA,NA,10,10
2020-04-07 17:20:00,NA,NA,10,10
2020-04-07 17:25:00,NA,NA,10,10
2020-04-07 17:30:00,NA,NA,10,10
2020-04-07 17:35:00,NA,NA,10,10
2020-04-07 17:40:00,NA,NA,10,10
2020-04-07 17:45:00,NA,NA,10,10
2020-04-07 17:50:00,NA,NA,10,10
2020-04-07 17:55:00,NA,NA,10,10
2020-04-07 18:00:00,NA,NA,10,10
2020-04-07 18:05:00,NA,NA,10,10
2020-04-07 18:10:00,NA,NA,10,10
2020-04-07 18:15:00,NA,NA,10,10
2020-04-07 18:20:00,NA,NA,10,10
2020-04-07 18:25:00,NA,NA,10,10
2020-04-07 18:30:00,NA,NA,10,10
2020-04-07 18:35:00,NA,NA,10,10
2020-04-07 18:40:00,NA,NA,10,10
2020-04-07 18:45:00,NA,NA,10,10
2020-04-07 18:50:00,NA,NA,10,10
2020-04-07 18:55:00,NA,NA,10,10
2020-04-07 19:00:00,NA,NA,10,10
2020-04-07 19:05:00,NA,NA,10,10
2020-04-07 19:10:00,NA,NA,10,10
2020-04-07 19:15:00,NA,NA,10,10
2020-04-07 19:20:00,NA,NA,10,10
2020-04-07 19:25:00,NA,NA,10,10
2020-04-07 19:30:00,4,shake_intensity,8.58,1.31
2020-04-07 19:35:00,4,shake_intensity,8.66,0.95
2020-04-07 19:40:00,NA,NA,10,10
2020-04-07 19:45:00,NA,NA,10,10
2020-04-07 19:50:00,NA,NA,10,10
2020-04-07 19:55:00,NA,NA,10,10
2020-04-07 20:00:00,NA,NA,10,10
2020-04-07 20:05:00,NA,NA,10,10
2020-04-07 20:10:00,NA,NA,10,10
2020-04-07 20:15:00,4,shake_intensity,8.98,1.01
2020-04-07 20:20:00,NA,NA,10,10
2020-04-07 20:25:00,NA,NA,10,10
2020-04-07 20:30:00,NA,NA,10,10
2020-04-07 20:35:00,NA,NA,10,10
2020-04-07 20:40:00,NA,NA,10,10
2020-04-07 20:45:00,NA,NA,10,10
2020-04-07 20:50:00,NA,NA,10,10
2020-04-07 20:55:00,NA,NA,10,10
2020-04-07 21:00:00,NA,NA,10,10
2020-04-07 21:05:00,NA,NA,10,10
2020-04-07 21:10:00,NA,NA,10,10
2020-04-07 21:15:00,NA,NA,10,10
2020-04-07 21:20:00,NA,NA,10,10
2020-04-07 21:25:00,NA,NA,10,10
2020-04-07 21:30:00,NA,NA,10,10
2020-04-07 21:35:00,NA,NA,10,10
2020-04-07 21:40:00,NA,NA,10,10
2020-04-07 21:45:00,NA,NA,10,10
2020-04-07 21:50:00,NA,NA,10,10
2020-04-07 21:55:00,NA,NA,10,10
2020-04-07 22:00:00,NA,NA,10,10
2020-04-07 22:05:00,NA,NA,10,10
2020-04-07 22:10:00,NA,NA,10,10
2020-04-07 22:15:00,NA,NA,10,10
2020-04-07 22:20:00,NA,NA,10,10
2020-04-07 22:25:00,NA,NA,10,10
2020-04-07 22:30:00,4,shake_intensity,9.1,1.18
2020-04-07 22:35:00,NA,NA,10,10
2020-04-07 22:40:00,NA,NA,10,10
2020-04-07 22:45:00,NA,NA,10,10
2020-04-07 22:50:00,NA,NA,10,10
2020-04-07 22:55:00,NA,NA,10,10
2020-04-07 23:00:00,NA,NA,10,10
2020-04-07 23:05:00,NA,NA,10,10
2020-04-07 23:10:00,NA,NA,10,10
2020-04-07 23:15:00,NA,NA,10,10
2020-04-07 23:20:00,NA,NA,10,10
2020-04-07 23:25:00,NA,NA,10,10
2020-04-07 23:30:00,NA,NA,10,10
2020-04-07 23:35:00,NA,NA,10,10
2020-04-07 23:40:00,NA,NA,10,10
2020-04-07 23:45:00,NA,NA,10,10
2020-04-07 23:50:00,NA,NA,10,10
2020-04-07 23:55:00,NA,NA,10,10
2020-04-08 00:00:00,NA,NA,10,10
2020-04-08 00:05:00,NA,NA,10,10
2020-04-08 00:10:00,NA,NA,10,10
2020-04-08 00:15:00,NA,NA,10,10
2020-04-08 00:20:00,NA,NA,10,10
2020-04-08 00:25:00,NA,NA,10,10
2020-04-08 00:30:00,NA,NA,10,10
2020-04-08 00:35:00,NA,NA,10,10
2020-04-08 00:40:00,NA,NA,10,10
2020-04-08 00:45:00,NA,NA,10,10
2020-04-08 00:50:00,NA,NA,10,10
2020-04-08 00:55:00,NA,NA,10,10
2020-04-08 01:00:00,NA,NA,10,10
2020-04-08 01:05:00,NA,NA,10,10
2020-04-08 01:10:00,NA,NA,10,10
2020-04-08 01:15:00,NA,NA,10,10
2020-04-08 01:20:00,NA,NA,10,10
2020-04-08 01:25:00,NA,NA,10,10
2020-04-08 01:30:00,NA,NA,10,10
2020-04-08 01:35:00,NA,NA,10,10
2020-04-08 01:40:00,NA,NA,10,10
2020-04-08 01:45:00,NA,NA,10,10
2020-04-08 01:50:00,4,shake_intensity,9.22,1.06
2020-04-08 01:55:00,NA,NA,10,10
2020-04-08 02:00:00,NA,NA,10,10
2020-04-08 02:05:00,NA,NA,10,10
2020-04-08 02:10:00,NA,NA,10,10
2020-04-08 02:15:00,NA,NA,10,10
2020-04-08 02:20:00,NA,NA,10,10
2020-04-08 02:25:00,NA,NA,10,10
2020-04-08 02:30:00,NA,NA,10,10
2020-04-08 02:35:00,NA,NA,10,10
2020-04-08 02:40:00,NA,NA,10,10
2020-04-08 02:45:00,NA,NA,10,10
2020-04-08 02:50:00,NA,NA,10,10
2020-04-08 02:55:00,NA,NA,10,10
2020-04-08 03:00:00,NA,NA,10,10
2020-04-08 03:05:00,NA,NA,10,10
2020-04-08 03:10:00,NA,NA,10,10
2020-04-08 03:15:00,NA,NA,10,10
2020-04-08 03:20:00,NA,NA,10,10
2020-04-08 03:25:00,NA,NA,10,10
2020-04-08 03:30:00,NA,NA,10,10
2020-04-08 03:35:00,NA,NA,10,10
2020-04-08 03:40:00,NA,NA,10,10
2020-04-08 03:45:00,NA,NA,10,10
2020-04-08 03:50:00,4,shake_intensity,9.11,0.94
2020-04-08 03:55:00,NA,NA,10,10
2020-04-08 04:00:00,4,shake_intensity,9.17,1.19
2020-04-08 04:05:00,NA,NA,10,10
2020-04-08 04:10:00,NA,NA,10,10
2020-04-08 04:15:00,NA,NA,10,10
2020-04-08 04:20:00,NA,NA,10,10
2020-04-08 04:25:00,NA,NA,10,10
2020-04-08 04:30:00,NA,NA,10,10
2020-04-08 04:35:00,NA,NA,10,10
2020-04-08 04:40:00,NA,NA,10,10
2020-04-08 04:45:00,NA,NA,10,10
2020-04-08 04:50:00,NA,NA,10,10
2020-04-08 04:55:00,NA,NA,10,10
2020-04-08 05:00:00,NA,NA,10,10
2020-04-08 05:05:00,NA,NA,10,10
2020-04-08 05:10:00,NA,NA,10,10
2020-04-08 05:15:00,NA,NA,10,10
2020-04-08 05:20:00,NA,NA,10,10
2020-04-08 05:25:00,NA,NA,10,10
2020-04-08 05:30:00,NA,NA,10,10
2020-04-08 05:35:00,NA,NA,10,10
2020-04-08 05:40:00,NA,NA,10,10
2020-04-08 05:45:00,NA,NA,10,10
2020-04-08 05:50:00,NA,NA,10,10
2020-04-08 05:55:00,NA,NA,10,10
2020-04-08 06:00:00,NA,NA,10,10
2020-04-08 06:05:00,NA,NA,10,10
2020-04-08 06:10:00,4,shake_intensity,9.6,0.81
2020-04-08 06:15:00,NA,NA,10,10
2020-04-08 06:20:00,NA,NA,10,10
2020-04-08 06:25:00,NA,NA,10,10
2020-04-08 06:30:00,NA,NA,10,10
2020-04-08 06:35:00,NA,NA,10,10
2020-04-08 06:40:00,NA,NA,10,10
2020-04-08 06:45:00,NA,NA,10,10
2020-04-08 06:50:00,NA,NA,10,10
2020-04-08 06:55:00,NA,NA,10,10
2020-04-08 07:00:00,NA,NA,10,10
2020-04-08 07:05:00,NA,NA,10,10
2020-04-08 07:10:00,NA,NA,10,10
2020-04-08 07:15:00,NA,NA,10,10
2020-04-08 07:20:00,NA,NA,10,10
2020-04-08 07:25:00,NA,NA,10,10
2020-04-08 07:30:00,NA,NA,10,10
2020-04-08 07:35:00,NA,NA,10,10
2020-04-08 07:40:00,NA,NA,10,10
2020-04-08 07:45:00,4,shake_intensity,9.24,1.06
2020-04-08 07:50:00,NA,NA,10,10
2020-04-08 07:55:00,NA,NA,10,10
2020-04-08 08:00:00,NA,NA,10,10
2020-04-08 08:05:00,NA,NA,10,10
2020-04-08 08:10:00,NA,NA,10,10
2020-04-08 08:15:00,NA,NA,10,10
2020-04-08 08:20:00,NA,NA,10,10
2020-04-08 08:25:00,NA,NA,10,10
2020-04-08 08:30:00,NA,NA,10,10
2020-04-08 08:35:00,4,shake_intensity,7.53,2.73
2020-04-08 08:40:00,4,shake_intensity,4.15,2.32
2020-04-08 08:45:00,4,shake_intensity,4.12,1.79
2020-04-08 08:50:00,4,shake_intensity,4.18,1.87
2020-04-08 08:55:00,4,shake_intensity,3.71,1.44
2020-04-08 09:00:00,4,shake_intensity,4.84,1.28
2020-04-08 09:05:00,4,shake_intensity,5.22,1.37
2020-04-08 09:10:00,4,shake_intensity,5.04,1.01
2020-04-08 09:15:00,4,shake_intensity,5.57,0.99
2020-04-08 09:20:00,4,shake_intensity,5.25,1.09
2020-04-08 09:25:00,4,shake_intensity,5.49,0.96
2020-04-08 09:30:00,4,shake_intensity,5.16,1.11
2020-04-08 09:35:00,4,shake_intensity,5.14,0.95
2020-04-08 09:40:00,4,shake_intensity,4.91,0.96
2020-04-08 09:45:00,4,shake_intensity,5.3,1
2020-04-08 09:50:00,4,shake_intensity,5.36,1.08
2020-04-08 09:55:00,4,shake_intensity,5.46,0.9
2020-04-08 10:00:00,4,shake_intensity,5.32,1.03
2020-04-08 10:05:00,4,shake_intensity,5.23,1.02
2020-04-08 10:10:00,4,shake_intensity,5.35,1.06
2020-04-08 10:15:00,4,shake_intensity,5.54,0.8
2020-04-08 10:20:00,4,shake_intensity,5.63,0.93
2020-04-08 10:25:00,4,shake_intensity,5.74,1.02
2020-04-08 10:30:00,4,shake_intensity,5.83,1
2020-04-08 10:35:00,4,shake_intensity,5.46,1.06
2020-04-08 10:40:00,4,shake_intensity,5.5,1.11
2020-04-08 10:45:00,4,shake_intensity,5.78,1.25
2020-04-08 10:50:00,4,shake_intensity,5.68,0.95
2020-04-08 10:55:00,4,shake_intensity,5.71,1.14
2020-04-08 11:00:00,4,shake_intensity,5.16,1.15
2020-04-08 11:05:00,4,shake_intensity,5.48,1.15
2020-04-08 11:10:00,4,shake_intensity,5.68,1.08
2020-04-08 11:15:00,4,shake_intensity,6.06,1.02
2020-04-08 11:20:00,4,shake_intensity,5.74,0.9
2020-04-08 11:25:00,4,shake_intensity,5.6,1.38
2020-04-08 11:30:00,4,shake_intensity,5.77,1.14
2020-04-08 11:35:00,4,shake_intensity,5.52,1.35
2020-04-08 11:40:00,4,shake_intensity,5.74,1.21
2020-04-08 11:45:00,4,shake_intensity,5.85,1.02
2020-04-08 11:50:00,4,shake_intensity,5.92,1.17
2020-04-08 11:55:00,4,shake_intensity,6.04,1.09
2020-04-08 12:00:00,4,shake_intensity,6.21,1.33
2020-04-08 12:05:00,4,shake_intensity,5.89,1.39
2020-04-08 12:10:00,4,shake_intensity,5.92,1.43
2020-04-08 12:15:00,4,shake_intensity,6.13,1.27
2020-04-08 12:20:00,4,shake_intensity,6.08,1.17
2020-04-08 12:25:00,4,shake_intensity,5.98,1.26
2020-04-08 12:30:00,4,shake_intensity,6,1.24
2020-04-08 12:35:00,4,shake_intensity,5.66,1.32
2020-04-08 12:40:00,4,shake_intensity,6.11,1.18
2020-04-08 12:45:00,4,shake_intensity,5.6,1.45
2020-04-08 12:50:00,4,shake_intensity,5.79,1.34
2020-04-08 12:55:00,4,shake_intensity,5.71,1.14
2020-04-08 13:00:00,4,shake_intensity,5.46,1.43
2020-04-08 13:05:00,4,shake_intensity,5.88,1.52
2020-04-08 13:10:00,4,shake_intensity,5.82,1.34
2020-04-08 13:15:00,4,shake_intensity,5.87,1.46
2020-04-08 13:20:00,4,shake_intensity,6.01,1.4
2020-04-08 13:25:00,4,shake_intensity,5.44,1.31
2020-04-08 13:30:00,4,shake_intensity,5.8,1.22
2020-04-08 13:35:00,4,shake_intensity,5.65,1.44
2020-04-08 13:40:00,4,shake_intensity,5.58,1.82
2020-04-08 13:45:00,4,shake_intensity,5.29,1.83
2020-04-08 13:50:00,4,shake_intensity,5.82,1.9
2020-04-08 13:55:00,4,shake_intensity,5.78,1.53
2020-04-08 14:00:00,4,shake_intensity,6.26,1.71
2020-04-08 14:05:00,4,shake_intensity,5.97,1.67
2020-04-08 14:10:00,4,shake_intensity,6.09,1.97
2020-04-08 14:15:00,4,shake_intensity,6.11,1.73
2020-04-08 14:20:00,4,shake_intensity,5.99,1.99
