cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%
shake_intensity,3,2020-04-06 01:00:00,0.4658950,0.2608995, 0.08695716, 1.05588297, 0.10925140, 0.89334606, 0.12486047, 0.71752756,0.13759178,0.43093724,  0.04766792,  0.11136730,  0.14006888,  0.14884259,  0.15760755,  0.17396683,  0.18394022,  0.19553657,  0.21119601,  0.23071692,  0.24565861,  0.25969629,  0.28038140,  0.29333662,  0.29929069,  0.30747702,  0.33690995,  0.35036049,  0.38058385,  0.39511269,  0.41006767,  0.42535715,  0.43279028,  0.45520564,  0.47735216,  0.50220835,  0.52162921,  0.55241192,  0.58468612,  0.60385446,  0.61725621,  0.66843407,  0.68279009,  0.70994914,  0.75321883,  0.82790182,  0.86006056,  0.89418873,  1.02667481,  1.15592465,  1.56060350
shake_intensity,3,2020-04-06 01:05:00,0.4608941,0.2741702, 0.09223302, 1.00943056, 0.09223302, 0.85005030, 0.09223302, 0.73329101,0.12173183,0.39872865,  0.03766161,  0.12136047,  0.12867826,  0.14576639,  0.15637346,  0.16683824,  0.18166994,  0.19636761,  0.21882619,  0.22483671,  0.24147009,  0.25793535,  0.27056373,  0.28123436,  0.29251526,  0.30901339,  0.32968254,  0.33724137,  0.36162369,  0.38044016,  0.38604562,  0.39526349,  0.41462026,  0.44332114,  0.45867086,  0.46891264,  0.51743960,  0.53637435,  0.56068515,  0.59743842,  0.63743421,  0.68878963,  0.71045716,  0.76395198,  0.78721920,  0.80637702,  0.83641227,  0.88999795,  0.97923058,  1.15290791,  1.48818749
shake_intensity,3,2020-04-06 01:10:00,0.4583744,0.2830667, 0.09794177, 1.04899753, 0.10203053, 0.87845256, 0.11059455, 0.71387421,0.14259465,0.41883552,  0.02915642,  0.11042150,  0.14218453,  0.14603975,  0.15650448,  0.17809216,  0.18252294,  0.18836494,  0.20144303,  0.23142335,  0.24832946,  0.26570312,  0.27481425,  0.28780895,  0.29948867,  0.31119322,  0.33726417,  0.34532819,  0.36476100,  0.37864348,  0.39093564,  0.40648977,  0.41506714,  0.44642300,  0.46263595,  0.48219541,  0.50960217,  0.53775547,  0.56131912,  0.58790161,  0.62624965,  0.65469278,  0.68936545,  0.71054009,  0.74135308,  0.79342417,  0.84697983,  0.92671393,  1.00967690,  1.10513479,  1.76466377
shake_intensity,3,2020-04-06 01:15:00,0.4543334,0.2713019, 0.09366073, 1.01492376, 0.11472337, 0.91143539, 0.09366073, 0.68067221,0.13430481,0.41973287,  0.02325686,  0.11440800,  0.13413651,  0.14308806,  0.15525788,  0.16033638,  0.17830284,  0.20062167,  0.21496698,  0.22832728,  0.24548706,  0.26011047,  0.27518177,  0.28322855,  0.29682110,  0.31133479,  0.32527560,  0.34091075,  0.36388366,  0.38523587,  0.39876320,  0.41330788,  0.41844147,  0.45090048,  0.46343880,  0.47798908,  0.49353756,  0.51515873,  0.54158550,  0.58785330,  0.60104459,  0.63795909,  0.67686438,  0.70391522,  0.76489206,  0.80006933,  0.87308207,  0.90936294,  0.97576181,  1.10271161,  1.50236464
shake_intensity,3,2020-04-06 01:20:00,0.4559511,0.2564471, 0.10765268, 1.01563105, 0.10765268, 0.86638983, 0.10330972, 0.69976646,0.10330972,0.39752712,  0.03018500,  0.11602380,  0.12924344,  0.13743787,  0.14642340,  0.16410757,  0.17362892,  0.19994657,  0.20812304,  0.22698609,  0.24052198,  0.25418236,  0.27276312,  0.28671855,  0.29911245,  0.30381807,  0.31576912,  0.33695668,  0.34856032,  0.37281144,  0.39591841,  0.41952391,  0.44472646,  0.46426910,  0.48468366,  0.50417031,  0.52419097,  0.55620393,  0.57010462,  0.58431105,  0.61918490,  0.63542819,  0.69026436,  0.74057941,  0.77994526,  0.82159181,  0.85806211,  0.89897175,  0.96374229,  1.04294927,  1.27045055
shake_intensity,3,2020-04-06 01:25:00,0.4612718,0.2571187, 0.09530871, 1.01919535, 0.09530871, 0.87955160, 0.10733740, 0.70039946,0.10796230,0.40761802,  0.02361718,  0.10849317,  0.12101610,  0.13517042,  0.14670992,  0.16402269,  0.17278142,  0.18755459,  0.21600070,  0.23373072,  0.24793525,  0.25660842,  0.26524144,  0.28027114,  0.28764130,  0.29915715,  0.32764773,  0.34251464,  0.36391152,  0.37855885,  0.39298642,  0.40979529,  0.43495712,  0.46333256,  0.48555760,  0.50268836,  0.51831685,  0.54775174,  0.56726709,  0.60166816,  0.61474348,  0.64067920,  0.68184575,  0.71121038,  0.79201688,  0.83838238,  0.87548837,  0.93197885,  0.99157948,  1.11842511,  1.52301499
shake_intensity,3,2020-04-06 01:30:00,0.4546163,0.2463219, 0.08691160, 1.03795079, 0.09808269, 0.86667349, 0.09808269, 0.68893239,0.11540452,0.41883255,  0.01756381,  0.10519340,  0.12912511,  0.13848804,  0.14734074,  0.16432558,  0.17399738,  0.19186205,  0.21968705,  0.22828334,  0.23599484,  0.24520804,  0.26570425,  0.27407708,  0.28427582,  0.30394082,  0.31661159,  0.34423356,  0.36572463,  0.38330599,  0.40407461,  0.41416611,  0.45283028,  0.45792178,  0.47456833,  0.49213268,  0.50864548,  0.51892648,  0.54929784,  0.58422183,  0.60244010,  0.62546870,  0.67499035,  0.71063511,  0.76114062,  0.79978667,  0.84739004,  0.89946872,  0.99557408,  1.10190737,  1.45008829
shake_intensity,3,2020-04-06 01:35:00,0.4547234,0.2476693, 0.08932968, 0.95366876, 0.08932968, 0.86522323, 0.08932968, 0.67035590,0.19306802,0.50034380,  0.01764998,  0.11260249,  0.12953224,  0.14775802,  0.15296720,  0.16201834,  0.18598414,  0.20087762,  0.21293854,  0.22351867,  0.23707846,  0.25073965,  0.26866560,  0.27732976,  0.28817558,  0.30568989,  0.34498904,  0.35491871,  0.36809750,  0.38246430,  0.40140336,  0.42174321,  0.44605036,  0.45703675,  0.48045087,  0.48693872,  0.49756755,  0.51727569,  0.53444049,  0.55501365,  0.60057799,  0.63234784,  0.65829076,  0.70035611,  0.76707209,  0.80120251,  0.84745483,  0.90943570,  0.94773075,  1.09693605,  1.52211270
shake_intensity,3,2020-04-06 01:40:00,0.4509692,0.2547258, 0.07863543, 1.07972909, 0.07863543, 0.87013629, 0.10705577, 0.67313949,0.18132632,0.47562966,  0.01732554,  0.10931824,  0.11935755,  0.13884979,  0.16207488,  0.18062436,  0.19075813,  0.20374173,  0.21340857,  0.23105643,  0.23723054,  0.24479100,  0.24978525,  0.27621469,  0.29057357,  0.29932228,  0.33350972,  0.34473490,  0.35712884,  0.37110471,  0.38857709,  0.40412068,  0.42831726,  0.44958421,  0.46361091,  0.47488930,  0.48724160,  0.51643778,  0.52542119,  0.55125676,  0.58127383,  0.61134262,  0.63384596,  0.67724643,  0.70893920,  0.76894204,  0.85053263,  0.92580862,  1.03766678,  1.17472463,  1.56436493
shake_intensity,3,2020-04-06 01:45:00,0.4457117,0.2559865, 0.06885938, 0.94904354, 0.10286495, 0.83382810, 0.12270931, 0.69191917,0.19004155,0.47705092,  0.01686127,  0.10212247,  0.12237665,  0.13659016,  0.15324706,  0.17652214,  0.19134294,  0.20396799,  0.20994066,  0.22214702,  0.22991204,  0.24550721,  0.26387720,  0.27646614,  0.28789072,  0.30642813,  0.33453215,  0.34807277,  0.37072823,  0.38768900,  0.40291194,  0.40803511,  0.42021500,  0.43817856,  0.45441405,  0.47209403,  0.49138649,  0.51563087,  0.54012970,  0.55593661,  0.59093368,  0.62332262,  0.65669033,  0.67264263,  0.68856276,  0.74250554,  0.77655375,  0.83269653,  0.88542464,  1.21896516,  1.68810621
shake_intensity,3,2020-04-06 01:50:00,0.4452242,0.2590189, 0.08434925, 0.99676854, 0.09586518, 0.80700400, 0.12012771, 0.67675768,0.12012771,0.41546901,  0.01937745,  0.11179835,  0.13028474,  0.13651551,  0.15672273,  0.17074518,  0.18198365,  0.19681566,  0.21106679,  0.22297989,  0.23804086,  0.25823459,  0.27068617,  0.27972376,  0.29405431,  0.30724712,  0.32821306,  0.33977155,  0.35831150,  0.38201929,  0.39693240,  0.41363228,  0.43076547,  0.44644966,  0.46278827,  0.47485523,  0.49153570,  0.52049218,  0.53465833,  0.55957926,  0.58221778,  0.61929437,  0.63983986,  0.65975806,  0.69594669,  0.74278869,  0.78777942,  0.82855150,  0.92704386,  1.14129445,  1.79110051
shake_intensity,3,2020-04-06 01:55:00,0.4449388,0.2285467, 0.08607612, 1.07004609, 0.10639341, 0.84276474, 0.10639341, 0.67172688,0.12271181,0.42659125,  0.01991087,  0.10652243,  0.12515482,  0.14417477,  0.15374198,  0.16616839,  0.17697294,  0.18225410,  0.19724277,  0.21118729,  0.22211167,  0.24036229,  0.25242495,  0.26592629,  0.30043088,  0.30793432,  0.31766960,  0.33736660,  0.35524297,  0.38466451,  0.40738739,  0.41839809,  0.43138033,  0.45201860,  0.46542864,  0.48156540,  0.49116711,  0.50972125,  0.53229869,  0.54515813,  0.57875518,  0.60361576,  0.65011489,  0.67339721,  0.71559660,  0.77555172,  0.80731494,  0.84591556,  1.02415742,  1.14778858,  1.50576351
shake_intensity,3,2020-04-06 02:00:00,0.4464993,0.2313429, 0.02293502, 0.99211138, 0.09078914, 0.90686779, 0.07468319, 0.61910779,0.15488747,0.43509581,  0.02293502,  0.10489034,  0.13393005,  0.15454752,  0.16138649,  0.16922888,  0.17339493,  0.18423651,  0.20381427,  0.21976096,  0.23190024,  0.24964378,  0.26353354,  0.27388910,  0.28898240,  0.30314082,  0.31887359,  0.36156384,  0.37710176,  0.38913181,  0.39771739,  0.40746860,  0.42290033,  0.43276298,  0.45061599,  0.46510784,  0.46869447,  0.47912733,  0.49145436,  0.52544120,  0.55449763,  0.57899838,  0.59911273,  0.65175216,  0.69488997,  0.78505445,  0.87166627,  0.90807424,  0.98946367,  1.18453068,  1.64555265
shake_intensity,3,2020-04-06 02:05:00,0.4423560,0.2495149, 0.02747936, 1.09422706, 0.05248040, 0.84980602, 0.09674243, 0.63737060,0.16461070,0.42130753,  0.02747936,  0.10082196,  0.13595941,  0.15212023,  0.17106294,  0.18601779,  0.19557592,  0.20115420,  0.20929181,  0.21924914,  0.23131579,  0.23980319,  0.25664568,  0.27784125,  0.29773630,  0.30331628,  0.30712849,  0.32327546,  0.34293894,  0.35614688,  0.38628741,  0.39284958,  0.40620056,  0.41757754,  0.43141156,  0.45918692,  0.47145421,  0.47735996,  0.49483443,  0.50689917,  0.52804305,  0.56256664,  0.60518573,  0.63963297,  0.75976686,  0.77519789,  0.84007647,  0.91390160,  1.02355636,  1.26983110,  1.48963258
shake_intensity,3,2020-04-06 02:10:00,0.4441017,0.2679302, 0.03670367, 1.07968244, 0.09301532, 0.85366309, 0.09301532, 0.66017888,0.20282034,0.46575794,  0.03670367,  0.09762951,  0.14193588,  0.15997425,  0.17178667,  0.18312114,  0.20226677,  0.21176024,  0.21726658,  0.23321632,  0.24157183,  0.24663103,  0.27447338,  0.28383057,  0.29905462,  0.31764199,  0.32760440,  0.33271444,  0.34547322,  0.35500513,  0.38100038,  0.41155909,  0.42059821,  0.43420346,  0.44853864,  0.45673564,  0.46544083,  0.47928017,  0.49318450,  0.51758615,  0.53432230,  0.55544875,  0.59397429,  0.67860541,  0.71887996,  0.76086959,  0.82213269,  0.88907982,  1.03709712,  1.18411329,  1.60863583
shake_intensity,3,2020-04-06 02:15:00,0.4484778,0.2919186, 0.03531277, 1.06655184, 0.10870814, 0.92430349, 0.14294765, 0.69303159,0.18069197,0.44691449,  0.03531277,  0.09285409,  0.14436875,  0.16256469,  0.17510788,  0.18517380,  0.19973486,  0.20582341,  0.22100783,  0.23575178,  0.25057274,  0.26247925,  0.27811325,  0.29642910,  0.30722898,  0.31470517,  0.32646009,  0.33945995,  0.34805820,  0.36720138,  0.38418115,  0.39590440,  0.42035022,  0.43197507,  0.44472388,  0.45456518,  0.46796663,  0.49716590,  0.51157382,  0.53658486,  0.55156394,  0.57745893,  0.62808802,  0.66542999,  0.69348308,  0.75812440,  0.87534946,  0.90942268,  1.01685711,  1.15924662,  1.58007990
shake_intensity,3,2020-04-06 02:20:00,0.4423394,0.2746864, 0.06253993, 1.09391012, 0.04887178, 0.80014409, 0.13043447, 0.70217825,0.15608698,0.40728131,  0.04887178,  0.09972903,  0.14295272,  0.15890628,  0.17212029,  0.19386632,  0.20016567,  0.21431750,  0.23094713,  0.23745695,  0.24419938,  0.25734551,  0.26728461,  0.27699613,  0.28377989,  0.30015441,  0.31300184,  0.32832361,  0.34491936,  0.35754126,  0.38069148,  0.38866786,  0.39668995,  0.41130718,  0.42763476,  0.44805715,  0.46399860,  0.47748092,  0.50093404,  0.51872373,  0.55196953,  0.59375107,  0.63608722,  0.67140617,  0.71630928,  0.73936546,  0.79787864,  0.91286958,  1.05518404,  1.14715344,  1.56244671
shake_intensity,3,2020-04-06 02:25:00,0.4490184,0.2925373, 0.06332549, 1.08391931, 0.06332549, 0.85473949, 0.14110499, 0.73896046,0.14110499,0.38739999,  0.06332549,  0.09781652,  0.14690584,  0.15924095,  0.17513341,  0.19165654,  0.20426646,  0.21217854,  0.23145318,  0.23689776,  0.24750843,  0.26287597,  0.27345193,  0.27866701,  0.29227090,  0.31146898,  0.32210681,  0.33374144,  0.34654050,  0.35142300,  0.36408017,  0.37545215,  0.39246710,  0.41445257,  0.42901285,  0.44606975,  0.46147206,  0.47334875,  0.49152821,  0.51582756,  0.54908148,  0.63598817,  0.65937581,  0.69710500,  0.74343133,  0.79307175,  0.85082338,  0.91505580,  1.08280097,  1.20167566,  1.69657227
shake_intensity,3,2020-04-06 02:30:00,0.4557777,0.2969931, 0.06005231, 1.21507730, 0.06166699, 0.88261713, 0.13827983, 0.70717073,0.16473151,0.40147616,  0.04202463,  0.11331678,  0.14232243,  0.16884228,  0.18001416,  0.19396795,  0.20117321,  0.21371199,  0.22776577,  0.24594716,  0.25990967,  0.27070619,  0.28088867,  0.28717473,  0.30092972,  0.30759140,  0.31188875,  0.33193244,  0.34351011,  0.35582992,  0.36567494,  0.38019275,  0.39342061,  0.40386513,  0.42633848,  0.43815966,  0.45695699,  0.49561535,  0.51196061,  0.53726883,  0.55014723,  0.60809455,  0.66095944,  0.69278074,  0.72216420,  0.79193635,  0.84674909,  0.93446860,  1.08139843,  1.27259459,  1.74555322
shake_intensity,3,2020-04-06 02:35:00,0.4607729,0.2964548, 0.08047462, 1.22153110, 0.10922284, 0.95009510, 0.10922284, 0.66821813,0.19623915,0.42982160,  0.04303730,  0.10866805,  0.15664762,  0.17083858,  0.18844172,  0.20227965,  0.21113353,  0.22360397,  0.23575223,  0.23965561,  0.25563494,  0.26832715,  0.28412507,  0.29369834,  0.30575047,  0.31476079,  0.32198791,  0.32775087,  0.34511023,  0.35434874,  0.37015601,  0.38850053,  0.40362378,  0.41977113,  0.42356328,  0.44595596,  0.46820265,  0.49190954,  0.51095688,  0.55311427,  0.58139196,  0.60140975,  0.63087007,  0.65322160,  0.73664509,  0.81517441,  0.85365386,  0.94412096,  1.15846019,  1.25924984,  1.69046709
shake_intensity,3,2020-04-06 02:40:00,0.4675130,0.3041119, 0.05611436, 1.10352704, 0.11198227, 0.96275839, 0.11198227, 0.67110310,0.19937884,0.43585498,  0.04333642,  0.11180237,  0.15373891,  0.15927964,  0.18246815,  0.20105075,  0.21214693,  0.22726939,  0.24149386,  0.25091641,  0.26601288,  0.27465370,  0.28188735,  0.28961625,  0.30251540,  0.30942151,  0.32134304,  0.34680731,  0.35640904,  0.36619728,  0.37591129,  0.39658387,  0.40212781,  0.41688852,  0.42740171,  0.43805917,  0.46893906,  0.49945383,  0.54402692,  0.57706129,  0.60352591,  0.62578147,  0.65651776,  0.66886535,  0.77053246,  0.82985693,  0.90913832,  0.96039612,  1.09841871,  1.24795238,  1.92327579
shake_intensity,3,2020-04-06 02:45:00,0.4773224,0.3450090, 0.05142961, 1.09343410, 0.05302874, 0.90567333, 0.10706357, 0.70462114,0.23547871,0.50728692,  0.05142961,  0.10684124,  0.14477683,  0.16663202,  0.18207822,  0.19759296,  0.20497996,  0.22831466,  0.24769182,  0.26246487,  0.27191641,  0.28368911,  0.29675863,  0.31280516,  0.33276949,  0.34189094,  0.35394192,  0.36349177,  0.37324426,  0.38365483,  0.39819236,  0.40753923,  0.42664141,  0.44589043,  0.46315878,  0.47798625,  0.49330719,  0.50599538,  0.52724729,  0.54529887,  0.57006737,  0.59640814,  0.67027501,  0.70133144,  0.76829156,  0.83803280,  0.90408100,  0.98060294,  1.07636869,  1.26079864,  2.12688788
shake_intensity,3,2020-04-06 02:50:00,0.4770511,0.3797769, 0.04931876, 1.03738113, 0.05670255, 0.90921696, 0.12376470, 0.72083500,0.17051727,0.43612857,  0.04931876,  0.10392286,  0.13526437,  0.17018841,  0.18086984,  0.18909792,  0.19982957,  0.21924080,  0.23549763,  0.24133198,  0.27703564,  0.28757249,  0.30137487,  0.31449202,  0.32180705,  0.33860207,  0.35098980,  0.37161389,  0.38699827,  0.39891555,  0.40469727,  0.41615416,  0.43005238,  0.43531269,  0.45541148,  0.46206098,  0.47260581,  0.49508743,  0.51780030,  0.55352937,  0.58769962,  0.62278164,  0.65169808,  0.69835173,  0.77971590,  0.85080276,  0.89305615,  0.96202554,  1.03685006,  1.19752836,  2.44366923
shake_intensity,3,2020-04-06 02:55:00,0.4898091,0.3424496, 0.06179971, 1.14543934, 0.07811974, 0.95087581, 0.13430690, 0.72034238,0.14474808,0.42428128,  0.04988636,  0.10233803,  0.14471399,  0.16442193,  0.17029224,  0.20133543,  0.21363033,  0.22895274,  0.24352359,  0.25235688,  0.26867049,  0.28373691,  0.29782904,  0.32097555,  0.33749647,  0.34620385,  0.35488270,  0.36407514,  0.37548114,  0.38642547,  0.40774089,  0.41661827,  0.42418435,  0.45399022,  0.46392470,  0.49397188,  0.51827320,  0.52368000,  0.54832303,  0.57315491,  0.60101310,  0.61810974,  0.65366904,  0.71243490,  0.76874577,  0.87140896,  0.93836014,  1.00567396,  1.08020905,  1.30092963,  2.74284669
shake_intensity,3,2020-04-06 03:00:00,0.5022351,0.3386215, 0.06972744, 1.30648101, 0.06972744, 0.93235247, 0.14236328, 0.74273108,0.20290058,0.47917251,  0.03859575,  0.08877226,  0.15943909,  0.17230696,  0.19421405,  0.20693398,  0.21865283,  0.23042209,  0.24964717,  0.25674545,  0.27179364,  0.29390096,  0.30110546,  0.32308014,  0.33670851,  0.35092880,  0.36136824,  0.38411678,  0.39376268,  0.40502014,  0.41360414,  0.43025104,  0.45901605,  0.46806950,  0.47284115,  0.49096533,  0.52287825,  0.55532960,  0.56968142,  0.59322952,  0.60638438,  0.63654147,  0.67735563,  0.70365079,  0.76793204,  0.82354579,  0.91259707,  1.00864549,  1.14602676,  1.41981129,  2.49081832
