cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%,time_end
buildings,1,2020-04-06 04:40:00,5.004258,4.940556,2.647954,7.116222,3.267529,7.116222,3.536677,6.382501,4.262591,5.669086,2.131158,2.709577,2.957540,3.326747,3.539184,3.774849,3.848733,3.963612,4.036767,4.214308,4.297213,4.381815,4.469172,4.524670,4.593073,4.708467,4.756643,4.798962,4.851531,4.923015,5.007410,5.052645,5.092328,5.142433,5.211828,5.288400,5.329729,5.492012,5.542979,5.650964,5.753991,5.820930,5.924530,6.051918,6.235317,6.273082,6.390191,6.753936,6.997472,7.118250,8.218368,2020-04-06 04:40:00
buildings,1,2020-04-06 05:20:00,4.401164,3.94781,1.743706,7.191672,2.373626,6.788032,2.702765,6.005685,2.702765,4.306986, 1.592762, 2.096268, 2.378147, 2.705376, 2.774717, 2.854902, 2.929935, 3.048705, 3.143701, 3.322131, 3.399403, 3.460822, 3.523805, 3.589140, 3.714327, 3.775692, 3.859997, 3.952993, 4.008346, 4.086129, 4.103087, 4.163499, 4.246479, 4.314370, 4.422498, 4.537773, 4.588000, 4.674311, 4.917933, 4.995691, 5.173188, 5.342351, 5.478702, 5.603473, 5.772246, 6.008014, 6.291702, 6.661006, 6.805226, 7.863201,15.099645,2020-04-06 05:20:00
buildings,1,2020-04-06 17:40:00,7.815719,7.898772, 3.458632,13.716641, 3.229102,11.655161,3.458632,9.961563,5.183382,8.649951, 3.151623, 3.518775, 3.914200, 4.292621, 4.722877, 4.906957, 5.031364, 5.190718, 5.253128, 5.536417, 5.662440, 5.838182, 6.082365, 6.223249, 6.433427, 6.510300, 6.666967, 6.944406, 7.243422, 7.502263, 7.642416, 7.679979, 7.844252, 8.202948, 8.246478, 8.378373, 8.503255, 8.670339, 8.882356, 9.171089, 9.342514, 9.651957, 9.808660,10.105098,10.570306,11.080208,11.518681,11.968541,13.356678,14.710201,16.268731,2020-04-06 17:40:00
buildings,1,2020-04-06 06:25:00,6.651368,5.841551, 3.957041,10.493069,4.041622,9.010803,4.821765,8.374354,5.158079,6.687758, 3.124342, 4.284679, 4.556810, 4.875424, 5.039583, 5.176842, 5.235378, 5.319648, 5.426994, 5.543143, 5.558945, 5.583708, 5.638850, 5.743591, 5.790804, 5.854278, 5.995283, 6.048640, 6.131818, 6.195591, 6.263327, 6.324905, 6.406039, 6.514430, 6.632400, 6.719103, 6.800085, 6.907171, 7.028448, 7.189514, 7.331710, 7.490154, 7.747879, 7.966410, 8.214244, 8.524856, 8.870702, 9.265599,10.207309,10.888784,14.090731,2020-04-06 06:25:00
buildings,1,2020-04-07 12:50:00,5.01291,4.05784,1.90862,8.12162,2.487652,7.737235,2.757364,6.869010,3.013101,5.221668, 1.504465, 2.353605, 2.633555, 2.824863, 3.010027, 3.125771, 3.291459, 3.397680, 3.478110, 3.586159, 3.723278, 3.842181, 3.873612, 4.095135, 4.154492, 4.228033, 4.277623, 4.356461, 4.492748, 4.744927, 4.885331, 4.972091, 5.034129, 5.108287, 5.217930, 5.383844, 5.559327, 5.688997, 5.836847, 6.037019, 6.146888, 6.276293, 6.542889, 6.693209, 6.803306, 6.973067, 7.335560, 7.674351, 7.900836, 9.191715,10.158322,2020-04-07 12:50:00
buildings,1,2020-04-06 06:30:00,5.538253,5.24415,3.488902,8.295579,3.784881,7.944603,3.821623,7.142260,4.601963,6.069787,2.135613,3.055589,3.586972,3.822697,4.022554,4.088401,4.270111,4.457847,4.602589,4.687008,4.750126,4.841254,4.902930,4.961055,5.003592,5.054643,5.192376,5.246228,5.282237,5.426960,5.469524,5.515117,5.562716,5.618331,5.727073,5.846707,5.911886,5.989330,6.087107,6.242330,6.315392,6.425247,6.510907,6.775095,6.957026,7.144286,7.394483,7.577450,7.790114,8.021367,8.830141,2020-04-06 06:30:00
buildings,1,2020-04-06 06:40:00,5.513922,5.506933,4.259923,6.833835,4.401346,6.599244,4.671076,6.412665,5.029259,5.816561,3.436793,4.294820,4.440719,4.611730,4.670760,4.731581,4.808267,4.845103,4.882176,4.973299,5.058370,5.112273,5.155229,5.222689,5.250212,5.274730,5.306769,5.341212,5.413137,5.454480,5.477097,5.530341,5.564165,5.590740,5.619444,5.654743,5.688203,5.708320,5.745200,5.786281,5.895179,5.968624,6.031554,6.145893,6.257448,6.382361,6.411676,6.558544,6.662671,6.839188,9.587623,2020-04-06 06:40:00
buildings,1,2020-04-06 17:45:00,4.819705,3.683321,1.894744,8.358623,1.894744,7.454970,2.840315,7.289186,3.102664,5.443862,0.9809552,1.9566035,2.3491539,2.3971196,2.7105598,2.9174798,3.0940974,3.1671897,3.2340070,3.3539675,3.4399141,3.5074349,3.6227006,3.7017202,3.8975929,3.9857607,4.0950118,4.2458749,4.3540493,4.5506884,4.6004236,4.7934629,4.8746802,4.9976816,5.1968270,5.3485047,5.4397128,5.5457634,5.7100929,5.8054448,6.0771736,6.2559342,6.3768912,6.4885650,6.8083352,7.1076770,7.2019683,7.6147517,7.9109962,8.4109745,9.6658434,2020-04-06 17:45:00
buildings,1,2020-04-06 06:50:00,5.214579,5.295625,3.423272,6.898049,3.794261,6.692020,4.269169,6.647319,4.650305,5.797559,3.074328,3.488874,3.791535,3.872506,4.049922,4.151236,4.292453,4.344600,4.412977,4.474963,4.578324,4.655096,4.759507,4.826818,4.852776,4.907833,5.020545,5.089717,5.149277,5.172889,5.221123,5.306898,5.341509,5.368693,5.389862,5.433738,5.483974,5.595871,5.654051,5.744307,5.755375,5.806340,5.992899,6.039208,6.203871,6.293479,6.432022,6.574143,6.686567,7.031807,7.719805,2020-04-06 06:50:00
buildings,1,2020-04-06 07:00:00,5.260951,5.162232,3.021775,7.272011,3.362737,6.859540,4.153627,6.848877,4.246650,5.588803,2.475237,3.116046,3.560007,3.773950,3.932975,4.107237,4.239884,4.278566,4.387332,4.451803,4.530441,4.584138,4.636124,4.708144,4.789952,4.848941,4.943064,4.989289,5.090153,5.185702,5.251081,5.293864,5.339069,5.408600,5.443865,5.517675,5.587947,5.674667,5.810636,5.886946,5.964167,6.078822,6.176798,6.370147,6.445609,6.582179,6.734026,6.808471,7.050759,7.544314,8.284480,2020-04-06 07:00:00
buildings,1,2020-04-06 17:50:00,1.822861,1.234359,0.1265396,4.2717134,0.2089662,3.1134547,0.4456931,2.5705751,0.6737399,1.6906635,0.1265396,0.4660289,0.5862216,0.6809353,0.7034657,0.8000881,0.8759834,0.9317332,0.9645879,1.0097680,1.0727910,1.1072206,1.1303636,1.1867578,1.2545085,1.3020518,1.3342501,1.3997599,1.4646065,1.5073072,1.5306964,1.5929396,1.6429910,1.7076163,1.8340221,1.8750365,1.9554153,2.0569136,2.1210089,2.1810861,2.2881986,2.3497274,2.4124423,2.5748781,2.7660423,2.9323499,3.0758435,3.3762267,4.2257036,4.6568065,7.8703825,2020-04-06 17:50:00
buildings,1,2020-04-08 09:45:00,5.443559,5.433485,4.908354,6.016989,5.036718,5.943828,5.049932,5.768651,5.202219,5.559361,4.726207,4.942327,5.038709,5.061892,5.098915,5.133991,5.151469,5.168100,5.202644,5.222345,5.238266,5.260326,5.278099,5.301483,5.310819,5.329655,5.348867,5.384406,5.400813,5.414251,5.426835,5.447111,5.471028,5.482307,5.494199,5.503222,5.508215,5.534551,5.559872,5.610292,5.629816,5.640496,5.682174,5.728944,5.763749,5.805004,5.831252,5.886732,5.956849,6.018011,6.169776,2020-04-08 09:45:00
buildings,1,2020-04-06 07:15:00,4.217259,3.897121,2.263920,6.288887,2.673464,5.985765,2.990820,5.593008,3.219007,4.403896,1.599146,2.469635,2.738577,2.860604,3.002343,3.129698,3.231970,3.272286,3.317716,3.334194,3.403878,3.506426,3.582782,3.677805,3.759642,3.777384,3.841862,3.868526,3.934057,4.032634,4.078941,4.143543,4.215065,4.252472,4.302817,4.360116,4.451712,4.569827,4.638441,4.730711,4.849730,4.980166,5.146530,5.321412,5.411324,5.489881,5.645141,5.776636,6.092918,6.599841,8.698441,2020-04-06 07:15:00
buildings,1,2020-04-07 13:25:00,5.328485,4.902137,2.902895,8.471404,2.902895,7.302253,3.527278,6.882560,4.467644,6.176760, 1.824241, 2.995117, 3.314265, 3.571005, 3.605515, 3.713647, 3.778052, 3.921939, 4.092678, 4.162191, 4.423784, 4.491097, 4.538824, 4.609913, 4.714714, 4.744865, 4.792159, 4.897818, 4.980368, 5.073320, 5.113629, 5.227975, 5.276818, 5.370327, 5.532027, 5.643814, 5.737042, 5.831753, 5.924710, 6.036617, 6.172420, 6.235825, 6.449744, 6.601773, 6.798393, 6.889520, 7.061396, 7.330026, 8.106552, 8.477251,11.735621,2020-04-07 13:25:00
buildings,1,2020-04-06 07:40:00,7.154729,6.530741, 4.109883,10.587022,4.109883,9.590257,4.949408,8.898662,5.305455,6.985394, 4.109883, 4.450998, 4.946914, 5.155594, 5.314373, 5.518147, 5.595474, 5.653176, 5.756257, 5.830019, 5.932008, 6.081045, 6.122055, 6.271227, 6.310232, 6.412976, 6.482955, 6.587980, 6.615589, 6.660529, 6.747348, 6.814802, 6.873292, 6.953272, 6.993546, 7.233242, 7.332626, 7.465640, 7.548963, 7.676341, 7.903061, 8.193273, 8.468038, 8.539509, 8.869142, 9.111389, 9.492630,10.103975,10.433943,12.262782,15.744509,2020-04-06 07:40:00
buildings,1,2020-04-06 08:05:00,4.432138,4.337319,2.128259,7.137496,2.128259,6.239060,2.628113,5.963479,3.147479,4.920667,0.992867,2.122523,2.310229,2.558381,2.739361,2.844325,3.106159,3.188067,3.224703,3.381129,3.542946,3.588116,3.701383,3.737073,3.810111,3.968031,4.071817,4.159376,4.230550,4.323203,4.402703,4.497781,4.545231,4.617832,4.724241,4.856182,4.916409,5.025775,5.120262,5.222590,5.402969,5.470546,5.642251,5.766525,5.829365,5.943997,6.097972,6.236759,6.767208,7.036163,8.451750,2020-04-06 08:05:00
buildings,1,2020-04-08 16:20:00,2.854885,2.929198,1.687239,4.268764,1.720736,3.808379,1.974242,3.576293,2.34851,3.22488,1.498743,1.762708,1.823775,1.974371,2.022094,2.095175,2.141930,2.179357,2.202952,2.264047,2.328956,2.362847,2.418700,2.466558,2.540590,2.573487,2.637185,2.678709,2.712594,2.749100,2.801801,2.834880,2.877022,2.939935,2.980033,3.076213,3.106043,3.126762,3.156496,3.187017,3.212372,3.256779,3.363470,3.433825,3.499883,3.576949,3.722282,3.863968,4.178079,4.558564,5.228083,2020-04-08 16:20:00
buildings,1,2020-04-06 17:55:00,5.720467,5.032386,2.525492,9.924672,2.525492,8.477646,3.225627,7.663710,3.329064,5.699513, 2.031061, 2.610073, 2.920162, 3.322766, 3.378057, 3.548779, 3.629744, 3.816382, 4.011933, 4.240758, 4.303547, 4.424152, 4.495557, 4.622048, 4.761799, 4.897805, 4.996810, 5.076732, 5.167999, 5.247476, 5.344431, 5.451915, 5.535840, 5.678261, 5.816243, 6.002043, 6.128375, 6.288854, 6.510318, 6.699187, 6.835306, 6.930988, 7.069237, 7.219644, 7.573991, 7.897283, 8.242028, 8.680849, 9.466837,10.549050,16.432585,2020-04-06 17:55:00
buildings,1,2020-04-06 08:20:00,6.550286,6.320506,3.864956,9.003739,4.553000,9.003739,4.647768,8.262110,5.430376,7.307131, 3.544316, 4.052240, 4.357597, 4.614318, 4.693483, 4.795102, 4.973252, 5.193807, 5.265591, 5.468305, 5.548855, 5.681056, 5.776469, 5.863477, 5.886078, 5.973975, 6.095754, 6.164276, 6.296815, 6.431878, 6.532064, 6.629228, 6.658311, 6.744681, 6.854431, 6.958647, 7.024092, 7.123176, 7.249439, 7.408018, 7.567924, 7.728848, 7.809564, 7.927636, 8.179324, 8.255204, 8.357009, 8.775211, 8.967463, 9.251266,11.001790,2020-04-06 08:20:00
buildings,1,2020-04-06 08:30:00,6.007161,5.831986,4.710661,7.384596,4.913957,7.265136,5.023482,6.804808,5.417422,6.308457,4.355472,4.781566,4.934828,5.070796,5.113143,5.173980,5.284921,5.360364,5.413014,5.454342,5.496358,5.521381,5.564420,5.596905,5.635220,5.684465,5.763307,5.826356,5.870143,5.907638,5.930763,5.949892,5.984271,6.027170,6.046157,6.122502,6.201925,6.256379,6.303379,6.361013,6.475773,6.522574,6.612095,6.696711,6.767586,6.863064,7.012866,7.226008,7.277382,7.785795,8.471823,2020-04-06 08:30:00
buildings,1,2020-04-06 18:05:00,0.9188549,0.5758863,0.1357914,2.0772551,0.1886765,1.8417691,0.150636,1.363874,0.2999902,0.9215255,0.1357914,0.1760375,0.2083908,0.2341913,0.2986280,0.3472842,0.3769500,0.4048212,0.4371939,0.4676681,0.4882155,0.5179058,0.5510766,0.5816559,0.5905467,0.6284425,0.6478250,0.6851739,0.7077090,0.7282690,0.7736064,0.8146725,0.8584021,0.9012825,0.9156213,0.9884217,1.0257224,1.0503987,1.0861656,1.1274538,1.1996570,1.2989907,1.3484269,1.4042769,1.5502159,1.6753127,1.7784473,1.8303399,2.0159502,2.5364037,3.0069084,2020-04-06 18:05:00
buildings,1,2020-04-09 11:30:00,3.443053,3.069589,1.638985,5.417158,1.638985,4.836574,2.048724,4.538440,2.315813,3.622142,1.638985,1.771261,1.948435,2.100971,2.205612,2.269503,2.323567,2.365609,2.446356,2.549455,2.643054,2.672356,2.786266,2.836595,2.901845,2.966130,3.016970,3.065917,3.135536,3.209765,3.306553,3.384098,3.466191,3.522675,3.563033,3.601254,3.629061,3.770842,3.836778,3.964986,4.076149,4.125830,4.242178,4.319046,4.443628,4.589056,4.762043,5.213126,5.394763,5.990022,7.956139,2020-04-09 11:30:00
buildings,1,2020-04-06 09:15:00,6.44418,6.449722,4.541171,7.970823,5.284185,7.970823,5.305293,7.314797,5.744071,6.698572,4.440074,4.920671,5.262194,5.358539,5.425765,5.573105,5.601682,5.692969,5.768938,5.816610,5.863938,5.935056,5.990778,6.031175,6.123896,6.190653,6.262357,6.291361,6.312564,6.353904,6.415515,6.432870,6.473468,6.533840,6.561832,6.598468,6.624818,6.678805,6.735550,6.790158,6.861421,6.932917,7.096929,7.213604,7.291906,7.386688,7.522512,7.667509,7.934791,8.472172,9.815783,2020-04-06 09:15:00
buildings,1,2020-04-07 13:50:00,6.78774,6.563895,3.323084,9.972523,3.813025,9.578997,4.584304,9.055120,5.376001,7.488992, 3.253567, 3.914384, 4.109856, 4.574738, 4.754860, 4.834410, 4.933728, 5.054923, 5.341703, 5.400063, 5.477521, 5.552013, 5.655002, 5.746470, 5.936542, 6.051372, 6.173194, 6.262787, 6.386366, 6.521350, 6.648800, 6.702088, 6.824967, 6.888438, 7.025147, 7.117552, 7.213635, 7.362535, 7.461132, 7.536760, 7.809638, 8.037269, 8.338217, 8.520859, 8.749698, 8.984022, 9.208836, 9.728409, 9.932583,11.131459,12.200511,2020-04-07 13:50:00
buildings,1,2020-04-06 09:35:00,6.41976,6.110983,4.566555,8.050416,5.285747,7.943645,5.285747,7.193847,5.949232,6.775604,4.380380,5.027530,5.311993,5.418947,5.524832,5.648332,5.693171,5.773270,5.823286,5.875948,5.925441,5.955790,5.988391,6.010440,6.052071,6.081463,6.129683,6.150751,6.171347,6.194563,6.259029,6.318779,6.339000,6.399452,6.433187,6.484840,6.558363,6.610021,6.657072,6.713467,6.764553,6.829905,7.001036,7.175937,7.248899,7.439556,7.571646,7.823816,7.963089,8.463564,9.316309,2020-04-06 09:35:00
buildings,1,2020-04-09 23:35:00,5.635086,5.397783,2.968060,8.559588,3.167794,7.902930,3.619648,7.361771,4.281075,6.131760,1.945017,3.024184,3.340780,3.626758,3.854114,3.929519,4.062514,4.278706,4.376013,4.473006,4.584012,4.650846,4.792256,4.883511,4.970399,5.077912,5.181613,5.254715,5.334689,5.456948,5.531376,5.571257,5.707640,5.796200,5.922053,6.016239,6.092792,6.126570,6.286586,6.473571,6.534722,6.773224,6.958171,7.111068,7.292812,7.377000,7.706105,7.853602,8.426021,8.561656,9.418776,2020-04-09 23:35:00
buildings,1,2020-04-06 19:05:00,8.840029,8.156084, 3.686937,14.550649, 5.017467,13.545191, 5.126639,11.239110,6.630065,9.929601, 3.686937, 4.640591, 5.161890, 5.377086, 5.713219, 5.946144, 6.112332, 6.274825, 6.442194, 6.675318, 6.827768, 7.011216, 7.223613, 7.467519, 7.689901, 7.871127, 7.934061, 8.054152, 8.137022, 8.273393, 8.348650, 8.484403, 8.652847, 8.863921, 9.083622, 9.262567, 9.506879, 9.773298, 9.874013, 9.966913,10.113051,10.394541,10.558129,11.014436,11.266610,11.658286,12.302857,13.238582,14.459745,16.186140,20.322136,2020-04-06 19:05:00
buildings,1,2020-04-06 09:45:00,8.06015,7.641403, 4.532536,11.302649, 5.276161,10.826213, 5.878711,10.122185,6.651431,8.840073, 4.050945, 4.918310, 5.306999, 5.707593, 5.928547, 6.075707, 6.149914, 6.335751, 6.646528, 6.791399, 6.890057, 7.068714, 7.172364, 7.281164, 7.328389, 7.413063, 7.477868, 7.584340, 7.713393, 7.797596, 7.946350, 7.982655, 8.091471, 8.188221, 8.304588, 8.491585, 8.625143, 8.697791, 8.832172, 9.111261, 9.326640, 9.406593, 9.620003, 9.721807, 9.905009,10.021567,10.335039,10.479213,11.137734,11.764680,12.955493,2020-04-06 09:45:00
buildings,1,2020-04-08 09:50:00,4.613072,4.739215,4.020135,5.182770,4.142619,5.109899,4.279649,5.015797,4.479757,4.862745,3.741666,4.003480,4.083380,4.157479,4.207510,4.292284,4.308311,4.363635,4.372517,4.395943,4.414625,4.443004,4.467713,4.482852,4.498960,4.509784,4.530369,4.552130,4.585216,4.622784,4.634951,4.648401,4.675216,4.688016,4.706220,4.732156,4.750107,4.767495,4.782412,4.793684,4.819231,4.832531,4.848569,4.866576,4.892729,4.921654,4.998205,5.042346,5.095045,5.152389,5.392670,2020-04-08 09:50:00
buildings,1,2020-04-06 10:00:00,6.591029,6.221519,4.889238,8.957123,5.121684,8.435721,5.272744,7.638406,5.950977,7.191393, 3.797454, 4.945105, 5.148826, 5.257918, 5.343993, 5.491386, 5.575945, 5.632510, 5.724227, 5.770360, 5.849372, 5.947260, 5.985213, 6.059032, 6.098123, 6.185898, 6.229113, 6.257520, 6.319911, 6.390605, 6.437073, 6.520822, 6.607763, 6.701647, 6.730433, 6.821883, 6.864174, 6.928140, 6.999574, 7.112079, 7.141055, 7.187544, 7.245225, 7.431660, 7.520619, 7.605910, 7.869192, 8.357137, 8.438768, 9.155628,11.091224,2020-04-06 10:00:00
buildings,1,2020-04-06 19:15:00,4.796044,4.156162,1.694379,9.105586,1.875838,8.102921,2.333430,6.853306,3.408188,5.602835, 0.941832, 1.691353, 2.057232, 2.370384, 2.505989, 2.700667, 2.807052, 3.000724, 3.185225, 3.425753, 3.516941, 3.650362, 3.794570, 3.869342, 3.981248, 4.043119, 4.151355, 4.271574, 4.363750, 4.378276, 4.549361, 4.780589, 4.928010, 5.066520, 5.192982, 5.290066, 5.380521, 5.422845, 5.504532, 5.661206, 5.777886, 5.918208, 6.049223, 6.307178, 6.627305, 6.920869, 7.234750, 7.995429, 8.349113, 9.089452,10.687884,2020-04-06 19:15:00
buildings,1,2020-04-06 10:25:00,7.733452,7.816672, 4.548321,10.767373, 4.921175,10.039648,5.816461,9.646502,6.729477,8.687310, 3.832768, 4.682838, 5.335984, 5.555310, 5.818935, 6.021836, 6.148479, 6.242855, 6.333457, 6.524008, 6.622349, 6.733183, 6.791373, 6.927354, 7.124118, 7.274386, 7.352691, 7.437835, 7.547944, 7.614293, 7.647152, 7.792120, 7.880725, 7.942289, 8.024670, 8.100907, 8.199929, 8.284185, 8.338299, 8.493201, 8.639275, 8.691211, 8.866100, 9.277583, 9.393970, 9.517386, 9.651177, 9.983564,10.481873,10.885029,16.776954,2020-04-06 10:25:00
buildings,1,2020-04-07 14:10:00,5.647462,4.931907,3.091470,9.423616,3.221491,8.442329,3.241788,7.349936,4.510324,6.584594, 2.052880, 3.044963, 3.246950, 3.402277, 3.703047, 3.781382, 3.855318, 4.113212, 4.284202, 4.368836, 4.504172, 4.587377, 4.661767, 4.784189, 4.848244, 4.881838, 4.981192, 5.071976, 5.172810, 5.307001, 5.341848, 5.523793, 5.633378, 5.703599, 5.880518, 5.964555, 6.200143, 6.279887, 6.441279, 6.511846, 6.580929, 6.714134, 6.993511, 7.221297, 7.356128, 7.595301, 7.914699, 8.251873, 8.981476, 9.397628,12.412396,2020-04-07 14:10:00
